[2025-11-23T23:43:47.129Z] ::1 | ANON | GET /api/categories | Status: 200 | 62ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:43:47.145Z] ::1 | ANON | GET /api/search/products/all | Status: 200 | 55ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:43:47.163Z] ::1 | ANON | GET /api/categories | Status: 304 | 28ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:43:47.172Z] ::1 | ANON | GET /api/search/products/all | Status: 200 | 20ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:43:47.233Z] ::1 | ANON | GET /api/categories/top-clicked?limit=6 | Status: 200 | 152ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:43:47.244Z] ::1 | ANON | GET /api/categories/top-clicked?limit=6 | Status: 304 | 8ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:49.340Z] ::1 | ANON | GET /api/search/products/all | Status: 200 | 12ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:49.368Z] ::1 | ANON | GET /api/categories | Status: 304 | 21ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:49.382Z] ::1 | ANON | GET /api/categories/top-clicked?limit=6 | Status: 304 | 29ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:49.396Z] ::1 | ANON | GET /api/categories | Status: 304 | 20ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:49.406Z] ::1 | ANON | GET /api/categories/top-clicked?limit=6 | Status: 304 | 18ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:50.595Z] ::1 | ANON | GET /api/search/products?categoria=ALIMENTOS | Status: 200 | 8ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:51.821Z] ::1 | ANON | GET /api/search/suggestions?texto=c | Status: 400 | 2ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:53.804Z] ::1 | ANON | GET /api/search/suggestions?texto=ca | Status: 200 | 114ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:55.062Z] ::1 | ANON | GET /api/search/suggestions?texto=c | Status: 400 | 1ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:55.740Z] ::1 | ANON | GET /api/search/suggestions?texto=w | Status: 400 | 0ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:57.187Z] ::1 | ANON | GET /api/search/suggestions?texto=we | Status: 200 | 14ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:58.029Z] ::1 | ANON | GET /api/search/suggestions?texto=web | Status: 200 | 11ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
[2025-11-23T23:44:58.539Z] ::1 | ANON | GET /api/search/suggestions?texto=we | Status: 304 | 9ms | UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0
